"event_player_1_name","weighted_win_percentage","total_weighted","win_percentage","total_faceoffs","importance_factor"
"Max Domi",51.4995891536565,973.599999999999,51.417004048583,494,1.97085020242915
"Barclay Goodrow",51.3003733745333,1553.4,51.9430051813471,772,2.01217616580311
"Elias Pettersson",51.2086827824371,1824.3,50.7214206437292,901,2.02475027746948
"Mason McTavish",51.1662501487564,1680.6,51.715976331361,845,1.98887573964497
"Ryan McLeod",51.0576043889058,1640.5,51.0392609699769,866,1.89434180138568
"Charlie Coyle",51.0066383719665,3675.6,51.1304347826087,1725,2.13078260869565
"Rourke Chartier",50.9983079526227,591,52.027027027027,296,1.99662162162162
"Tomas Nosek",50.9738079247817,446.7,51.931330472103,233,1.91716738197425
"Phillip Danault",50.952495780082,2488.2,51.4563106796116,1236,2.0131067961165
"Jonathan Drouin",50.9073543457498,209.4,51.0204081632653,98,2.13673469387755
"Kevin Stenlund",50.8202714435864,2188.3,51.4097744360902,1064,2.05667293233083
"Ross Colton",50.7326209099923,1815.4,51.1802575107296,932,1.94785407725322
"James Hamblin",50.6989430617116,293.3,50.625,160,1.833125
"Reese Johnson",50.6571087216249,167.4,51.8518518518518,81,2.06666666666667
"Shane Pinto",50.5567696950775,960.9,50.6048387096774,496,1.93729838709677
"Nick Bonino",50.4727707959306,835.5,50.9852216748768,406,2.05788177339901
"David Kampf",50.3535863761004,2078.7,51.008064516129,992,2.09546370967742
"Jonny Brodzinski",50.3038803179056,641.7,50.1492537313433,335,1.9155223880597
"Joe Pavelski",50.2018762617267,1684.2,50.4878048780488,820,2.05390243902439
"Nicklas Backstrom",50.1913265306122,156.8,52.3809523809524,84,1.86666666666667
"Mikael Backlund",50.0956262737106,3189.5,50.2908855850032,1547,2.0617323852618
"Joel Eriksson Ek",49.8380838463109,3427.7,49.6878901373283,1602,2.1396379525593
"Adam Lowry",49.7666199906648,2999.4,49.7278911564626,1470,2.04040816326531
"Frederick Gaudreau",49.7032122905028,1145.6,49.908592321755,547,2.09433272394881
"Brayden Schenn",49.6677475944926,1881.1,49.3478260869565,920,2.04467391304348
"Pierre-Luc Dubois",49.6635262449529,1857.5,49.5258166491043,949,1.95732349841939
"Nazem Kadri",49.6214588082058,2456.8,48.9256198347107,1210,2.0304132231405
"Morgan Frost",49.5746373707081,1633.9,49.453219927096,823,1.98529769137303
"Mika Zibanejad",49.5351165784579,2796.4,49.8550724637681,1380,2.0263768115942
"Jason Dickinson",49.4243356202192,2536.2,50,1236,2.05194174757282
"Tyler Motte",49.4182067077344,292.2,50,158,1.8493670886076
"Barrett Hayton",49.3500570125428,877,49.7607655502392,418,2.09808612440191
"Evgeni Malkin",49.2970640162166,1529.3,48.5642946317104,801,1.90923845193508
"Pius Suter",49.1953135058581,776.699999999999,48.9795918367347,392,1.98137755102041
"Joe Veleno",49.1595615103532,1231.5,49.0353697749196,622,1.97990353697749
"Wyatt Johnston",49.1137457448057,1703.8,49.1666666666667,840,2.02833333333334
"Shane Wright",49.0614886731392,154.5,50.6172839506173,81,1.90740740740741
"Vinni Lettieri",49.0322580645161,170.5,49.3975903614458,83,2.05421686746988
"Connor McDavid",48.9853462639381,2340.7,48.7541528239203,1204,1.94410299003323
"Mark Scheifele",48.9461358313817,2775.5,48.6988847583643,1345,2.0635687732342
"William Nylander",48.9073097211756,265.4,48,125,2.1232
"Nick Bjugstad",48.8821098968993,2589.7,49.2418196328811,1253,2.06679968076616
"Jordan Martinook",48.8310542567269,226.7,48.2142857142857,112,2.02410714285714
"Austin Czarnik",48.7873372478938,391.7,49.0196078431373,204,1.92009803921569
"Timo Meier",48.6082474226804,194,48.8888888888889,90,2.15555555555556
"Scott Laughton",48.5808350376615,2004.7,48.9252814738997,977,2.05189355168885
"Ryan Poehling",48.5727853110326,1895.3,49.1471215351812,938,2.02057569296376
"Anthony Cirelli",48.4582387080495,1981.5,48.8372093023256,989,2.00353892821032
"Curtis Lazar",48.4370789544597,742.2,48.7671232876712,365,2.03342465753425
"Logan Couture",48.3714146815751,205.7,47.9166666666667,96,2.14270833333333
"Cole Guttman",48.2293423271501,237.2,50,120,1.97666666666667
"Sean Kuraly",48.2047230269511,1139.1,48.141592920354,565,2.01610619469027
"Adam Ruzicka",48.1470841712152,348.1,46.9945355191257,183,1.90218579234973
"Pontus Holmberg",48.0853015363449,436.1,47.3684210526316,228,1.91271929824561
"Justin Danforth",48.0420884389984,750.8,48.4593837535014,357,2.103081232493
"Marat Khusnutdinov",47.9836651352731,195.9,47.5728155339806,103,1.90194174757282
"Michael Rasmussen",47.8452066842568,227.4,48.3333333333333,120,1.895
"Yanni Gourde",47.6641040804258,2198.3,47.8341013824885,1085,2.02608294930876
